size_category,algorithm,avg_vertices,avg_edges,avg_cost,avg_time_ms,avg_operations,min_time_ms,max_time_ms
small,Prim,19,6,135,4,185,4,0,183,535,6,0,059,0,424
small,Kruskal,19,6,135,4,185,4,0,183,1060,8,0,028,0,388
large,Prim,623,1,43921,6,924,7,4,198,140225,3,0,603,15,394
large,Kruskal,623,1,43921,6,924,7,8,206,680917,9,1,436,13,924
xlarge,Prim,1941,0,191714,0,2324,3,10,670,606321,7,7,142,12,702
xlarge,Kruskal,1941,0,191714,0,2324,3,29,649,3302600,0,23,200,36,089
medium,Prim,146,4,5460,2,362,6,0,886,17975,0,0,068,3,431
medium,Kruskal,146,4,5460,2,362,6,1,588,69908,6,0,066,6,234
